Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1997,TLCCONS2533,70,1992.9,50,0,525,0,0,0,510130
1859,TLCCONS2531,47.5,1381.1,40,0,280.25,0,0,0,331021
1813,TLC13980,18,200,10,0,153,0,0,0,76398
4037,TLCCONS2546,3.6,388.5,10,0,25.2,0,0,0,90201
1914,TLC13953,2.7,345.1,10,0,27,0,0,0,81106
3030,TLCCONS2542,3.15,217.2,10,0,31.5,0,0,0,54147
3088,TLCCONS2541,3.15,214,10,0,31.5,0,0,0,53451
3352,TLC13959,3.2,197.5,10,0,32,0,0,0,49849
2882,TLCCONS2529,2.25,217.8,10,0,22.5,0,0,0,52354
1893,TLC13984,1.8,232.4,10,0,18,0,0,0,54573
3701,TLCCONS2485,1.35,214.9,10,0,13.5,0,0,0,52329
1973,TLC13765,0.5,250,10,0,5,0,0,0,57716
3483,TLCCONS2553,2.7,112.9,10,0,27,0,0,0,30422
3704,TLCCONS2549,2.25,134.3,10,0,22.5,0,0,0,34130
2909,TLCCONS2557,3.15,79.5,5,0,31.5,0,0,0,24102
3722,TLC13991,1.8,110.2,10,0,18,0,0,0,27900
3763,TLC13857,0.45,173.8,10,0,4.5,0,0,0,38911
2961,TLCCONS2528,3.15,56.1,5,0,31.5,0,0,0,18985
4178,TLCCONS2545,2.25,99.5,5,0,22.5,0,0,0,26533
3224,TLC14109,0.5,130.4,10,0,5,0,0,0,29423
3290,TLCCONS2558,0.9,110.2,10,0,9,0,0,0,25976
2963,TLCCONS2536,2.7,43.3,5,0,27,0,0,0,15235
3494,TLCCONS2550,0.9,105.7,10,0,9,0,0,0,25002
1934,TLCCONS2547,0.9,103.1,10,0,9,0,0,0,24208
3175,TLCCONS2548,2.25,58.5,5,0,22.5,0,0,0,17585
3068,TLC14054,1.8,71.7,5,0,18,0,0,0,19501
3962,TLC13730,1.4,67.4,5,0,14,0,0,0,19026
3789,TLC13895,0.9,96.3,5,0,9,0,0,0,22939
3189,TLCCONS2560,0.45,99.1,5,0,4.5,0,0,0,22603
3052,TLC14101,0.5,88.2,5,0,5,0,0,0,20221
3717,TLC14027,0.9,67.9,5,0,9,0,0,0,16734
3534,TLC14123,0.5,76.7,5,0,5,0,0,0,17700
4175,TLC14026,1.4,31.3,5,0,14,0,0,0,9734
3105,TLC14035,0.9,50.5,5,0,9,0,0,0,12951
3813,TLC13420,0.5,51.5,5,0,5,0,0,0,16316
3560,TLCCONS2543,0.9,50.4,5,0,9,0,0,0,12919
3001,TLC14097,0.9,43,5,0,9,0,0,0,11314
3795,TLC14028,0.45,64.2,5,0,4.5,0,0,0,14973
3547,TLCCONS2552,0.45,64.1,5,0,4.5,0,0,0,14949
2956,TLC13957,2.25,29.5,3,0,22.5,0,0,0,0
3874,TLCCONS2559,0.45,48.5,5,0,4.5,0,0,0,11543
4094,TLC14038,0.5,42.8,5,0,5,0,0,0,10307
3996,TLC14141,0.5,38.9,5,0,5,0,0,0,9464
4183,TLC13898,0.5,36.1,5,0,5,0,0,0,8833
2876,TLC14008,0.5,34.2,5,0,5,0,0,0,8424
3133,TLC14045,0.5,32.1,5,0,5,0,0,0,7966
3897,TLC14102,0.5,32.1,5,0,5,0,0,0,7957
3223,TLC14129,0.5,30.9,5,0,5,0,0,0,7704
1925,TLC14128,0.45,37.9,5,0,4.5,0,0,0,6705
3811,TLCCONS2554,1.35,13.5,3,0,13.5,0,0,0,0
4161,TLC13947,1,28,0,0,8,0,0,0,0
3433,TLC14071,1,28.7,0,0,8,0,0,0,0
2905,TLC14088,1,19.7,0,0,8,0,0,0,0
3381,TLC14099,1,26,0,0,8,0,0,0,0
2867,TLCCONS2551,1,14.6,0,0,8,0,0,0,0
3633,TLC13718,1,25.6,0,0,8,0,0,0,0
2838,TLC13782,1,25.1,0,0,8,0,0,0,0
1793,TLC13864,1,5.5,0,0,8,0,0,0,0
4162,TLC13961,1,21.4,0,0,8,0,0,0,0
3076,TLC13993,1,28.6,0,0,8,0,0,0,0
4228,TLC14002,1,26.8,0,0,8,0,0,0,0
4164,TLC14004,1,21.1,0,0,8,0,0,0,0
2919,TLC14062,1,10.7,0,0,8,0,0,0,0
3190,TLC14077,1,25,0,0,8,0,0,0,0
3512,TLC14095,1,19,0,0,8,0,0,0,0
3575,TLC14113,1,22.3,0,0,8,0,0,0,0
1829,TLC14125,1,15.9,0,0,8,0,0,0,0
3183,TLC14143,1,25,0,0,8,0,0,0,0
4086,TLC13846,1,23.4,0,0,8,0,0,0,0
3313,TLC14142,1,27,0,0,8,0,0,0,0
4046,TLCCONS2544,1,10,0,0,8,0,0,0,0
