Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
2930,TLCCONS2431,53.8,1056.1,50,0,403.5,0,0,0,261679
1813,TLCCONS2433,23.2,733.9,30,0,185.6,0,0,0,195701
2000,TLC13440,7.2,840,30,0,68.4,0,0,0,194231
2909,TLCCONS2444,18.9,347.6,10,0,160.65,0,0,0,108159
3362,TLC13324,18.9,259.4,10,0,160.65,0,0,0,89269
3502,TLCCONS2432,6.3,488.8,20,0,59.85,0,0,0,117242
3474,TLCCONS2460,3.6,493.7,20,0,36,0,0,0,113267
3505,TLC13226,6.75,280.9,10,0,64.13,0,0,0,73616
3479,TLC13325,2.7,397.7,10,0,27,0,0,0,90827
4175,TLCCONS2463,8.55,120.1,10,0,81.23,0,0,0,42767
3088,TLCCONS2458,6.3,157.2,10,0,59.85,0,0,0,46221
1940,TLCCONS2439,4.05,232.8,10,0,40.5,0,0,0,54959
2882,TLCCONS2436,3.6,224.2,10,0,36,0,0,0,55561
3938,TLCCONS2459,1.8,187.9,10,0,18,0,0,0,44020
3203,TLCCONS2455,3.15,74.6,5,0,31.5,0,0,0,22584
3939,TLC13309,3.2,71.7,5,0,32,0,0,0,21974
3433,TLC13398,3.6,50,5,0,36,0,0,0,18263
3030,TLCCONS2457,2.25,95.8,5,0,22.5,0,0,0,25227
3405,TLCCONS2461,0.9,126.9,10,0,9,0,0,0,29050
3267,TLCCONS2451,0.9,118,10,0,9,0,0,0,27154
3321,TLCCONS2462,1.8,96,5,0,18,0,0,0,24343
4063,TLC13158,0.9,112,10,0,9,0,0,0,25869
3188,TLCCONS2453,0.9,100.6,10,0,9,0,0,0,23420
4042,TLC13364,1.8,46,5,0,18,0,0,0,13621
4087,TLCCONS2437,1.8,41.6,5,0,18,0,0,0,12698
4178,TLCCONS2441,1.8,37.8,5,0,18,0,0,0,11870
3095,TLCCONS2448,0.9,51.5,5,0,9,0,0,0,12906
3521,TLC13421,0.9,51,5,0,9,0,0,0,12810
3575,TLC13215,0.9,37.5,5,0,9,0,0,0,9911
3058,TLC13255,0.5,53.5,5,0,5,0,0,0,12392
3494,TLC13339,0.5,40,5,0,5,0,0,0,9509
4183,TLC13345,0.5,40,5,0,5,0,0,0,9509
3672,TLC13296,0.5,31.9,5,0,5,0,0,0,7782
2956,TLC13365,1.4,26.7,3,0,14,0,0,0,0
3512,TLC12956,1,19,0,0,8,0,0,0,0
4121,TLC13038,1,29.9,0,0,8,0,0,0,0
2838,TLC13140,1,28.7,0,0,8,0,0,0,0
2813,TLC13167,1,24,0,0,8,0,0,0,0
2851,TLC13246,1,28.3,0,0,8,0,0,0,0
3105,TLC13256,1,23.5,0,0,8,0,0,0,0
2911,TLC13299,1,25.3,0,0,8,0,0,0,0
3993,TLC13301,1,19.7,0,0,8,0,0,0,0
2919,TLC13327,1,13.5,0,0,8,0,0,0,0
3560,TLC13334,1,19.3,0,0,8,0,0,0,0
1829,TLC13337,1,15.9,0,0,8,0,0,0,0
4032,TLC13338,1,11.3,0,0,8,0,0,0,0
#N/A,TLC13347,1,16.7,0,0,8,0,0,0,0
2874,TLC13384,1,21.4,0,0,8,0,0,0,0
2873,TLC13392,1,21.4,0,0,8,0,0,0,0
3292,TLC13396,1,21.4,0,0,8,0,0,0,0
3114,TLC13397,1,23.4,0,0,8,0,0,0,0
3875,TLC13415,1,12.9,0,0,8,0,0,0,0
3175,TLC13422,1,22.7,0,0,8,0,0,0,0
3811,TLCCONS2449,1,16.2,0,0,8,0,0,0,0
3427,TLCCONS2452,1,26.8,0,0,8,0,0,0,0
2996,TLCCONS2454,1,29.2,0,0,8,0,0,0,0
