Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1864,TLCCONS2641,21.15,2661.5,50,0,137.48,105,0,0,590626
1858,TLCCONS2649,7.65,2821.3,50,0,53.55,35,0,0,441205
1884,TLC14804,6.3,1113,75,0,0,0,0,0,247485
1858,TLCCONS2626,6.3,836.4,30,0,44.1,0,0,0,185806
1894,TLC14479,3.2,621.6,20,0,25.6,0,0,0,137823
1866,TLCCONS2647,3.6,335.8,10,0,36,0,0,0,78386
3511,TLC13449,6.8,267,10,0,64.6,0,0,0,70644
4086,TLCCONS2625,4.95,280.2,10,0,49.5,0,0,0,69442
2882,TLCCONS2627,2.25,192.8,10,0,22.5,0,0,0,45384
1940,TLCCONS2640,18.87,167.7,10,0,113.22,0,0,0,42136
3175,TLCCONS2633,4.95,148.3,10,0,49.5,0,0,0,41582
3865,TLC14686,1.8,177.5,10,0,18,0,0,0,41217
4178,TLCCONS2635,6.3,78,5,0,59.85,0,0,0,28859
3028,TLC14710,0.9,121.3,10,0,9,0,0,0,27497
4288,TLCCONS2644,2.7,102.3,10,0,27,0,0,0,27196
3088,TLC14658,1.8,100,5,0,18,0,0,0,24851
2909,TLCCONS2622,2.25,90,5,0,22.5,0,0,0,23678
2989,TLC14781,0.9,87.7,5,0,9,0,0,0,20185
3914,TLC14659,1.8,70,5,0,18,0,0,0,18505
3993,TLCCONS2650,2.7,58.5,5,0,27,0,0,0,17951
3704,TLCCONS2629,1.35,65.2,5,0,13.5,0,0,0,16572
4257,TLC14766,0.45,71.7,5,0,4.5,0,0,0,16073
3292,TLCCONS2636,1.8,55.9,5,0,18,0,0,0,15535
2952,TLCCONS2637,1.8,54.6,5,0,18,0,0,0,15265
3405,TLC14748,0.5,62.1,5,0,5,0,0,0,14766
1925,TLCCONS2620,1.8,51.6,5,0,18,0,0,0,14624
4171,TLC14708,0.5,64.2,5,0,5,0,0,0,14481
3189,TLC14661,0.5,63.7,5,0,5,0,0,0,14378
2930,TLCCONS2648,0.45,62.2,5,0,4.5,0,0,0,14077
2876,TLCCONS2631,1.8,47.7,5,0,18,0,0,0,13808
3058,TLCCONS2628,0.45,59.9,5,0,4.5,0,0,0,13594
4046,TLC14733,1.8,44.1,5,0,18,0,0,0,13031
3178,TLC14594,0.5,53,5,0,5,0,0,0,12120
4279,TLC14548,0.5,50,5,0,5,0,0,0,11495
4045,TLC14779,1.35,40.4,5,0,13.5,0,0,0,11328
3491,TLC14702,0.9,43.9,5,0,9,0,0,0,11138
3534,TLC14690,1.4,37.5,5,0,14,0,0,0,10702
3543,TLC14696,0.9,33,5,0,9,0,0,0,8825
3224,TLC14689,1,30.3,0,0,8,0,0,0,8255
3672,TLC14660,0.45,32,5,0,4.5,35,0,0,7684
3197,TLC14724,1,25,0,0,8,0,0,0,6932
3874,TLC14786,0.5,32.1,5,0,5,0,0,0,5601
3318,TLC14667,105.5,620.6,20,0,791.25,0,0,0,165360
4260,TLC14352,1,29.7,0,0,8,0,0,0,0
2838,TLC14462,1,22.2,0,0,8,0,0,0,0
3190,TLC14472,1,10,0,0,8,0,0,0,0
3055,TLC14478,1,12.8,0,0,8,0,0,0,0
3113,TLC14546,1,15,0,0,8,0,0,0,0
3384,TLC14564,1,26.7,0,0,8,0,0,0,0
4166,TLC14587,1,26.1,0,0,8,0,0,0,0
3030,TLC14596,1,26.9,0,0,8,0,0,0,0
4219,TLC14631,1,23,0,0,8,0,0,0,0
3424,TLC14649,1,18.5,0,0,8,0,0,0,0
3587,TLC14671,1,4,0,0,8,0,0,0,0
4287,TLC14673,1,26.3,0,0,8,0,0,0,0
3350,TLC14693,1,28.9,0,0,8,0,0,0,0
4087,TLC14697,1,14.3,0,0,8,0,0,0,0
3427,TLC14701,1,10.7,0,0,8,0,0,0,0
3419,TLC14720,1,23,0,0,8,0,0,0,0
3483,TLC14727,1,10.7,0,0,8,0,0,0,0
3001,TLC14732,1,14,0,0,8,0,0,0,0
3245,TLC14741,1,4.5,0,0,8,0,0,0,0
3407,TLC14750,1,25,0,0,8,0,0,0,0
4035,TLC14753,1,10.7,0,0,8,0,0,0,0
3114,TLC14754,1,28.1,0,0,8,0,0,0,0
4175,TLC14759,1,19,0,0,8,0,0,0,0
3183,TLC14778,1,16.1,0,0,8,0,0,0,0
3291,TLCCONS2651,1,21.4,0,0,8,0,0,0,0
