Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
3407,TLC14750,1,25,0,0,8,0,0,0,0
1859,TLCCONS2737,18.6,2304.6,40,0,109.74,35,0,0,515028
1858,TLCCONS2709,6.75,2727.1,50,0,47.25,0,0,0,425789
1893,TLCCONS2699,18.87,1443.9,50,0,160.4,0,0,0,331805
1881,TLC15272,34.2,1098.4,50,0,205.2,0,0,0,274506
2892,TLC15181,10.8,1450,40,0,70.2,0,0,0,237242
2930,TLCCONS2727,2.7,642.1,20,0,27,0,0,0,141222
4086,TLC13901,0.9,656.3,20,0,9,0,0,0,140493
7,TLC15236,20.2,543,6,0,111.1,0,0,0,136215
3491,TLCCONS2725,21.5,487.6,20,0,172,0,0,0,113607
1902,TLC15039,5.4,370,10,0,51.3,0,0,0,88772
3704,TLCCONS2714,18.77,290.9,10,0,159.55,0,0,0,72960
1999,TLC15237,0.5,316.9,10,0,5,0,0,0,68603
3409,TLC15101,2.7,249,10,0,27,0,0,0,58186
3287,TLC1575,0.9,260.9,10,0,9,0,0,0,56958
3545,TLCCONS2704,9.9,170.2,10,0,94.05,0,0,0,55429
1940,TLCCONS2707,4.05,226.4,10,0,24.3,0,0,0,52846
7,TLC15233,2.7,226.8,6,0,14.85,0,0,0,50985
3088,TLCCONS2710,2.25,189.1,10,0,22.5,0,0,0,44600
1934,TLCCONS2706,4.05,148.9,10,0,40.5,0,0,0,39831
3766,TLC14828,5,134.8,10,0,50,0,0,0,38730
7,TLC15064,0.9,176.6,5,0,4.95,0,0,0,38310
4037,TLC14880,1.4,130,10,0,9.8,0,0,0,29414
2882,TLCCONS2708,1.35,111.9,10,0,13.5,0,0,0,26435
4178,TLCCONS2711,3.6,73.9,5,0,36,0,0,0,23068
3189,TLC14663,0.5,96.3,5,0,5,0,0,0,21270
7,TLC15150,0.9,90,6,0,4.95,0,0,0,20042
3603,TLCCONS2713,1.35,81.2,5,0,13.5,0,0,0,19947
3587,TLC15142,2.7,66,5,0,27,0,0,0,19535
3624,TLCCONS2739,1.35,76.2,5,0,13.5,0,0,0,18886
4087,TLCCONS2717,4.05,43.7,5,0,40.5,0,0,0,17626
2911,TLCCONS2738,1.8,52.9,5,0,18,0,0,0,14901
3350,TLC15234,0.9,61,5,0,9,0,0,0,14742
3520,TLCCONS2736,1.35,55.6,5,0,13.5,0,0,0,14544
3030,TLCCONS2712,2.62,53.2,5,0,26.2,0,0,0,14037
3926,TLC15178,0.5,60,5,0,5,0,0,0,13594
2998,TLC15217,2.7,46.9,5,0,27,0,0,0,13538
3290,TLC14879,0.5,57.5,5,0,5,0,0,0,13079
3874,TLC15289,1.4,64.2,5,0,14,0,0,0,11883
1858,TLC15232,0.45,53.1,5,0,3.15,0,0,0,11867
3633,TLC15172,0.9,46,5,0,9,0,0,0,11566
3001,TLCCONS2721,0.9,42.8,5,0,9,0,0,0,10900
4078,TLC14561,0.5,47.1,5,0,5,0,0,0,10877
3795,TLC15168,0.5,42.8,5,0,5,0,0,0,9974
3114,TLCCONS2720,0.45,42.3,5,0,4.5,0,0,0,9015
2989,TLC14923,1,26.8,0,0,8,0,0,0,0
3453,TLC13714,1.8,29,3,0,18,0,0,0,0
2963,TLC14006,1,16,0,0,8,0,0,0,0
4164,TLC14151,1,16.7,0,0,8,0,0,0,0
4275,TLC14467,1,26.8,0,0,8,0,0,0,0
4245,TLC14555,1,26.8,0,0,8,0,0,0,0
3218,TLC14668,1,23.9,0,0,8,0,0,0,0
2898,TLC14815,1,30,0,0,8,0,0,0,0
3057,TLC14845,1,15.1,0,0,8,0,0,0,0
3029,TLC14865,1,24.2,0,0,8,0,0,0,0
3736,TLC14977,1,15.6,0,0,8,0,0,0,0
3752,TLC15034,1,28.4,0,0,8,0,0,0,0
3133,TLC15036,1,30.1,0,0,8,0,0,0,0
3512,TLC15045,1,19,0,0,8,0,0,0,0
2838,TLC15047,1,25.1,0,0,8,0,0,0,0
1887,TLC15077,1,27.4,0,0,8,0,0,0,0
3419,TLC15087,1,20,0,0,8,0,0,0,0
2952,TLC15098,1,18.2,0,0,8,0,0,0,0
3269,TLC15099,1,17.1,0,0,8,0,0,0,0
3381,TLC15114,1,26.8,0,0,8,0,0,0,0
1829,TLC15117,1,30,0,0,8,0,0,0,0
3665,TLC15129,1.8,25,3,0,18,0,0,0,0
3076,TLC15132,1,27.3,0,0,8,0,0,0,0
3560,TLC15133,1,10.7,0,0,8,0,0,0,0
3672,TLC15134,1,7.5,0,0,8,0,0,0,0
4141,TLC15145,1,27.8,0,0,8,0,0,0,0
3759,TLC15146,2.3,19.7,3,0,23,0,0,0,0
2956,TLC15147,1.4,25.1,3,0,14,0,0,0,0
1925,TLC15159,0.5,32.9,5,0,5,0,0,0,0
2989,TLC15160,1,26.8,0,0,8,0,0,0,0
4183,TLC15235,1,28.3,0,0,8,0,0,0,0
2996,TLC15276,1,13.9,0,0,8,0,0,0,0
3183,TLCCONS2716,0.9,38.4,5,0,9,0,0,0,0
3811,TLCCONS2741,1.8,15.8,3,0,18,0,0,0,0
