Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1884,TLCCONS2765,10,2998.6,75,0,0,0,0,0,663574
2933,TLC15504,25.2,913,30,0,189,0,0,0,235798
3903,TLC15495,15.3,900,30,0,130.05,0,0,0,220595
1894,TLCCONS2756,2.25,872.5,30,0,18,0,0,0,191092
1896,TLCCONS2768,15.5,725.6,30,0,108.5,0,0,0,178322
3742,TLCCONS2757,20,491.2,20,0,170,0,0,0,135235
3865,TLC15335,6.75,481.5,20,0,64.13,0,0,0,116876
2892,TLCCONS2760,44.35,268,30,0,266.1,0,0,0,83106
4105,TLC15413,2.7,283.3,10,0,27,0,0,0,66510
2882,TLCCONS2747,3.15,254.2,10,0,31.5,0,0,0,61204
2930,TLC15454,2.7,215.3,10,0,27,0,0,0,51896
1871,TLCCONS2754,4.5,134.2,10,0,45,0,0,0,38272
1897,TLCCONS2724,6,128,10,0,57,0,0,0,37652
1940,TLCCONS2751,16.08,149,10,0,96.48,0,0,0,37088
3405,TLCCONS2770,0.9,157.1,10,0,9,0,0,0,35614
4183,TLC15043,0.5,158.4,10,0,5,0,0,0,34946
4336,TLC15412,4.5,114.8,10,0,45,0,0,0,34125
4321,TLC15383,2.3,123.3,10,0,23,0,0,0,31194
3633,TLC15388,2.7,90.5,5,0,27,0,0,0,25123
3337,TLC15410,1.8,97.3,5,0,18,0,0,0,24688
3453,TLC15303,3.2,77,5,0,32,0,0,0,23166
3635,TLCCONS2767,3.15,62.9,5,0,31.5,0,0,0,20138
4171,TLC15219,1.4,80.3,5,0,14,0,0,0,20074
4037,TLC15496,0.5,85.6,5,0,3.5,0,0,0,19043
3411,TLCCONS2758,0.9,69.5,5,0,9,0,0,0,16813
3516,TLC15364,1.8,58.7,5,0,18,0,0,0,16394
3983,TLC15374,0.9,60.9,5,0,9,0,0,0,14977
3371,TLC15402,0.45,64.2,5,0,4.5,0,0,0,14727
3914,TLC15393,1.4,46.7,5,0,14,0,0,0,12851
3999,TLC15338,0.9,42.8,5,0,9,0,0,0,11080
1886,TLC14816,0.5,50.6,5,0,5,0,0,0,13230
3696,TLC15260,0.9,77.4,5,0,9,0,0,0,19695
3585,TLC15281,0.5,31.2,5,0,5,0,0,0,9791
4275,TLC14468,1,26.8,0,0,8,0,0,0,0
4245,TLC14556,1,26.8,0,0,8,0,0,0,0
4294,TLC14681,1,21.4,0,0,8,0,0,0,0
4300,TLC14976,0.5,35,5,0,5,0,0,0,0
3225,TLC15088,1,16.9,0,0,8,0,0,0,0
2838,TLC15097,1,26.7,0,0,8,0,0,0,0
3291,TLC15300,1,16,0,0,8,0,0,0,0
4204,TLC15301,1,20.9,0,0,8,0,0,0,0
4020,TLC15310,1,25.7,0,0,8,0,0,0,0
1858,TLC15312,0.5,38.2,5,0,3.5,0,0,0,0
4087,TLC15315,1,16.5,0,0,8,0,0,0,0
3175,TLC15316,1,18.7,0,0,8,0,0,0,0
3907,TLC15319,1,27.7,0,0,8,0,0,0,0
4073,TLC15325,1,12.5,0,0,8,0,0,0,0
4175,TLC15330,1,24.9,0,0,8,0,0,0,0
4219,TLC15331,0.45,40.7,5,0,4.5,0,0,0,0
3788,TLC15337,0.5,38,5,0,5,0,0,0,0
3564,TLC15356,1,9.6,0,0,8,0,0,0,0
3188,TLC15360,0.9,33.2,5,0,9,0,0,0,0
2924,TLC15361,1,14.5,0,0,8,0,0,0,0
3335,TLC15363,1,29.5,0,0,8,0,0,0,0
1971,TLC15370,1,13.5,0,0,8,0,0,0,0
2911,TLC15379,0.45,39.5,5,0,4.5,0,0,0,0
4216,TLC15394,0.45,35.3,5,0,4.5,0,0,0,0
3076,TLC15395,1,29.1,0,0,8,0,0,0,0
4046,TLCCONS2748,1,29.9,0,0,8,0,0,0,0
2909,TLCCONS2749,1,20.6,0,0,8,0,0,0,0
3108,TLCCONS2752,0.45,31.9,5,0,4.5,0,0,0,0
