Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1864,TLCCONS2695,19.35,2651.2,25,0,125.78,70,0,0,586023
1930,TLCCONS2654,42.8,2313,50,0,252.52,0,0,0,540227
1884,TLCCONS2690,8.3,2055,75,0,0,0,0,0,446631
1887,TLC14788,21.2,1496.3,50,0,159,0,0,0,348892
4309,TLCCONS2660,24.6,1399.6,50,0,196.8,0,0,0,335876
1921,TLCCONS2693,60.2,1050.9,25,0,331.1,0,0,0,240419
1900,TLC14869,2.3,893.9,30,0,23,0,0,0,193466
2930,TLCCONS2662,22.11,812.8,30,0,176.88,0,0,0,185853
3109,TLCCONS2684,5.85,785.5,30,0,55.58,0,0,0,177425
4312,TLCCONS2688,42.9,554.2,20,0,321.75,0,0,0,147955
3320,TLC14842,2.3,605.6,20,0,23,0,0,0,132571
2847,TLCCONS2657,5.6,476,20,0,53.2,0,0,0,111167
1813,TLC14849,30.6,270,10,0,229.5,0,0,0,104552
2930,TLCCONS2661,12.6,333.3,10,0,113.4,0,0,0,93881
3337,TLCCONS2687,6.3,344.9,10,0,59.85,0,0,0,85246
1859,TLC14866,2.7,385,10,0,15.93,0,0,0,84621
1914,TLC14877,3.2,364.1,10,0,32,0,0,0,83424
3789,TLCCONS2689,3.15,335.1,10,0,31.5,0,0,0,77301
2882,TLCCONS2655,5.85,280.4,10,0,55.58,0,0,0,70742
4045,TLC14837,4.5,244,10,0,45,0,0,0,60847
1971,TLC14822,18,113.3,10,0,153,0,0,0,55603
1940,TLCCONS2665,21.23,179.9,10,0,127.38,0,0,0,46937
4219,TLC14806,1.4,204,10,0,14,0,0,0,45875
3704,TLCCONS2677,4.5,160.3,10,0,45,0,0,0,43174
1895,TLC15008,16.2,104.6,10,0,97.2,0,0,0,42231
1997,TLC14892,1.4,166.2,10,0,14,0,0,0,37898
1893,TLCCONS2663,0.45,163.2,10,0,4.5,0,0,0,35395
3190,TLCCONS2682,7.65,90.5,5,0,72.68,0,0,0,34167
1868,TLCCONS2667,6.3,84.9,5,0,59.85,0,0,0,30333
3502,TLCCONS2680,0.9,130.7,10,0,9,0,0,0,29469
4086,TLCCONS2664,1.35,110.7,10,0,13.5,0,0,0,26166
1877,TLCCONS2669,1.8,98.5,5,0,18,0,0,0,24542
2909,TLCCONS2685,1.8,77.6,5,0,18,0,0,0,20113
4191,TLC14764,0.45,85.4,5,0,4.5,0,0,0,18981
2981,TLC15013,1.8,67.4,5,0,18,0,0,0,17967
3089,TLC14884,2.7,53.2,5,0,27,0,0,0,16818
3409,TLC14885,0.5,71.4,5,0,5,0,0,0,16002
3088,TLC14893,0.9,63.2,5,0,9,0,0,0,15210
3030,TLCCONS2683,1.35,56.9,5,0,13.5,0,0,0,14806
2983,TLCCONS2681,1.8,51.7,5,0,18,0,0,0,14639
3209,TLC14650,0.45,49.6,5,0,4.5,0,0,0,11399
3350,TLCCONS2678,0.45,41.9,5,0,4.5,0,0,0,9776
3721,TLC14963,1.35,25.6,3,0,13.5,0,0,0,8207
3720,TLC14738,1.4,23.1,3,0,14,0,0,0,7668
1782,TLCCONS2656,72.6,2526,50,0,544.5,35,0,0,580359
4275,TLC14465,1,26.8,0,0,8,0,0,0,0
4279,TLC14549,1,26.8,0,0,8,0,0,0,0
4245,TLC14554,1,26.8,0,0,8,0,0,0,0
2899,TLC14588,1,23.5,0,0,8,0,0,0,0
3724,TLC14598,1,16.9,0,0,8,0,0,0,0
3865,TLC14641,1,10.7,0,0,8,0,0,0,0
3907,TLC14643,1,27.7,0,0,8,0,0,0,0
3055,TLC14672,0.5,28.4,0,0,4,0,0,0,0
4294,TLC14682,1,18.2,0,0,8,0,0,0,0
4297,TLC14744,1,15,0,0,8,0,0,0,0
4295,TLC14760,0.5,37,5,0,5,0,0,0,0
3999,TLC14805,1,22.5,0,0,8,0,0,0,0
4293,TLC14807,0.5,32.1,5,0,5,0,0,0,0
2880,TLC14808,0.9,32.1,5,0,9,0,0,0,0
3725,TLC14811,1,28.9,0,0,8,0,0,0,0
3204,TLC14818,1,13.9,0,0,8,0,0,0,0
3273,TLC14820,1,21.9,0,0,8,0,0,0,0
4175,TLC14831,1,21.4,0,0,8,0,0,0,0
2873,TLC14835,1,27.3,0,0,8,0,0,0,0
2924,TLC14872,1,15,0,0,8,0,0,0,0
2996,TLC14873,1,18.2,0,0,8,0,0,0,0
2838,TLC14902,1,27.8,0,0,8,0,0,0,0
4300,TLC14906,0.5,35,5,0,5,0,0,0,0
3316,TLC14911,1,25.6,0,0,8,0,0,0,0
3095,TLC14912,1,21.7,0,0,8,0,0,0,0
3424,TLC14914,1,25.7,0,0,8,0,0,0,0
3520,TLC14916,1,20.3,0,0,8,0,0,0,0
3276,TLC14922,1,26.8,0,0,8,0,0,0,0
3001,TLC14928,1,23.5,0,0,8,0,0,0,0
3335,TLC14932,1,17.8,0,0,8,0,0,0,0
4020,TLC14936,1,22.1,0,0,8,0,0,0,0
4068,TLC14938,1,15.9,0,0,8,0,0,0,0
1866,TLC14946,1,20.8,0,0,8,0,0,0,0
3076,TLC14982,1.4,29.4,3,0,14,0,0,0,0
4303,TLCCONS2668,2.25,39.8,5,0,22.5,0,0,0,0
3427,TLCCONS2674,0.45,32.1,5,0,4.5,0,0,0,0
4278,TLCCONS2675,0.45,34.2,5,0,4.5,0,0,0,0
2867,TLCCONS2676,1.8,14.6,3,0,18,0,0,0,0
3175,TLCCONS2679,0.45,34,5,0,4.5,0,0,0,0
1871,TLC14874,1,25.7,0,0,8,0,0,0,0
3269,TLC14935,1,8.6,0,0,8,0,0,0,0
