Nº CLIENTE,GUIA,PESO,FOB,SERVICIOS,Gest Aduanera,FLETE,SED,CONTAINER,PALLETS,IMPUESTO
1858,TLCCONS2572,4.5,2605.4,50,0,31.5,0,0,0,418267
1883,TLC14326,7.2,1794,75,0,0,0,0,0,403146
1859,TLCCONS2570,19.7,1440,40,0,116.23,0,0,0,339322
1881,TLC14269,29.7,593.2,20,0,178.2,0,0,0,167606
2820,TLC14262,0.5,637.2,20,0,5,0,0,0,140058
4240,TLCCONS2584,4.95,572,20,0,49.5,0,0,0,135457
1896,TLC14227,10.8,484.7,20,0,97.2,0,0,0,121982
3479,TLCCONS2569,5.4,359.7,10,0,51.3,0,0,0,89497
4212,TLC14297,8.1,335.6,10,0,76.95,0,0,0,86271
4088,TLC14224,3.2,305.6,10,0,32,0,0,0,73459
2882,TLCCONS2564,1.8,202.4,10,0,18,0,0,0,48040
2870,TLC14296,6.3,156,10,0,59.85,0,0,0,44159
3030,TLCCONS2585,2.25,155.3,10,0,22.5,0,0,0,38707
3907,TLC14194,2.7,135.8,10,0,27,0,0,0,35424
3088,TLCCONS2577,3.15,123.2,10,0,31.5,0,0,0,33631
4175,TLCCONS2586,3.6,111.9,10,0,36,0,0,0,32133
4247,TLCCONS2574,3.15,106,10,0,31.5,0,0,0,29881
3207,TLC14295,0.5,159.9,10,0,5,0,0,0,26066
3635,TLC14220,7.2,52,5,0,68.4,0,0,0,25993
1999,TLC14162,2.3,93.4,5,0,23,0,0,0,25207
4037,TLC14177,2.3,97.9,5,0,16.1,0,0,0,24740
1858,TLCCONS2583,0.9,94.4,5,0,6.3,0,0,0,21957
3547,TLC14239,0.9,84.5,5,0,9,0,0,0,20377
2911,TLC14201,3.2,58,5,0,32,0,0,0,19402
1940,TLCCONS2579,1.35,78.5,5,0,8.1,0,0,0,18862
3371,TLCCONS2580,1.8,61.5,5,0,18,0,0,0,17266
1871,TLCCONS2562,0.9,69.2,5,0,9,0,0,0,17037
4257,TLC14322,0.5,71.7,5,0,5,0,0,0,16611
3183,TLC14161,2.25,50,5,0,22.5,0,0,0,15727
3358,TLC14165,0.9,59.9,5,0,9,0,0,0,15006
3512,TLCCONS2565,0.9,56.9,5,0,9,0,0,0,14335
4255,TLC14312,0.9,55.9,5,0,9,0,0,0,14130
4254,TLC14307,0.9,51.8,5,0,9,0,0,0,13230
3494,TLC14309,1.8,35.3,5,0,18,0,0,0,11560
4251,TLC14305,1.8,54.6,5,0,18,0,0,0,11453
3076,TLCCONS2575,0.9,41.8,5,0,9,0,0,0,11052
3287,TLCCONS2538,1.35,195.1,10,0,13.5,0,0,0,46582
1884,TLC14325,69.8,2502.1,50,0,0,0,30,0,658112
1890,TLCCONS2563,34.3,449.2,20,0,257.25,0,0,0,136562
2838,TLC13946,1,26,0,0,8,0,0,0,0
4225,TLC14001,1,30,0,0,8,0,0,0,0
4183,TLC14148,1,27.1,0,0,8,0,0,0,0
4204,TLC14207,3.2,27.1,3,0,32,0,0,0,0
2996,TLC14250,1,28.9,0,0,8,0,0,0,0
3426,TLC14256,1.4,12.9,3,0,14,0,0,0,0
3704,TLC14270,1,18.2,0,0,8,0,0,0,0
3335,TLC14298,1,27.4,0,0,8,0,0,0,0
2961,TLC14300,1,28.9,0,0,8,0,0,0,0
4253,TLC14306,1,28.4,0,0,8,0,0,0,0
4245,TLC14308,1,26.8,0,0,8,0,0,0,0
4252,TLC14311,1,23.5,0,0,8,0,0,0,0
1864,TLCCONS2566,47.7,2975.9,50,0,310.05,105,30,0,715927
